24.38.63.26,8080,1.885770171
24.48.219.49,8080,1.99099663
24.143.198.188,80,0.361260762
54.204.12.206,18186,1.756397976
54.251.183.68,2013,0.440169571
82.193.148.68,8080,2.918958154
106.186.31.191,8088,0.522389036
110.4.24.173,80,0.242966367
110.77.137.220,8080,0.61418047
110.170.137.26,8080,2.859382203
118.97.95.174,80,1.094055788
118.97.95.174,8080,0.621612913
119.252.160.34,8080,1.380156447
124.219.18.89,8080,0.932598151
179.107.38.130,8080,1.737904276
186.238.51.149,8080,1.605013221
187.111.192.3,8080,2.407410903
187.111.202.135,8080,1.86211519
190.0.16.58,8080,1.667963943
190.0.47.238,8080,1.296397236
190.24.10.122,8080,2.558697032
190.184.144.54,8080,1.771786618
192.3.25.99,7808,2.504653212
192.3.25.99,8089,0.795360795
198.108.218.163,8080,0.915210782
200.37.53.116,8080,3.449645021
200.153.105.1,8080,1.647924449
200.170.151.14,8080,2.126954672
200.192.150.2,8080,1.891236647
202.52.141.82,1234,1.362384323
202.171.253.83,80,0.057150901
202.171.253.83,81,0.045593262
202.171.253.83,83,0.04526858
202.171.253.83,84,0.053135841
202.171.253.98,80,0.217930868
202.171.253.101,80,0.243927958
202.171.253.111,80,0.230157899
202.175.83.61,1234,0.46131251
203.89.27.150,8080,2.580019321
203.172.203.70,8080,1.117553946
204.84.216.200,80,3.058802963
204.84.216.200,8080,1.572133286
209.226.31.242,80,4.618973509
212.175.133.25,8080,4.182152656
209.226.31.243,80,1.607404655
219.83.51.152,8080,0.841816825
219.93.183.106,8080,2.183946736
220.246.28.90,808,0.043937764
188.237.180.55,80,1.697082138
197.210.252.44,8080,1.858270711
14.49.42.34,80,3.912565522
46.218.85.113,3129,1.587180118
62.201.207.14,8080,2.808880146
66.35.68.145,7808,1.206757514
66.35.68.145,8089,1.87303667
82.79.66.19,8080,3.441271605
84.40.120.192,8080,3.708650458
85.185.42.2,8080,2.379973863
85.185.149.31,80,3.51865417
88.191.155.230,8888,1.353797866
91.99.101.218,80,1.535186854
93.190.18.146,8080,2.501056953
94.154.222.127,8080,2.091333248
109.185.116.199,8080,3.697970003
151.9.131.12,8080,4.124312983
162.223.88.40,8080,1.466481939
177.69.234.4,8080,1.755067841
177.107.97.245,8080,1.488741895
178.48.2.237,8080,4.397036012
180.180.121.24,80,3.580211072
181.112.217.211,8080,1.94888064
183.207.228.6,8888,0.135113689
183.207.228.21,80,0.298823922
183.207.229.10,80,0.091026465
186.228.78.121,8080,3.116906688
187.76.1.146,8080,3.127689569
187.188.195.66,8080,1.758290359
189.85.29.98,8080,3.588446639
189.108.118.194,8080,3.472754686
193.194.87.228,8080,1.758841551
197.210.252.44,80,2.213627053
201.221.131.76,8080,4.206368623
201.221.133.6,8080,4.595628565
202.59.160.10,8080,0.737829658
202.116.1.148,8128,4.153230857
213.110.195.249,8080,2.606265168
1.179.139.148,8080,1.782339047
27.145.135.166,80,1.876395443
27.145.145.105,8080,3.584566231
124.225.52.14,8080,0.263918657
125.214.163.2,8080,1.883770184
183.207.229.12,80,0.171480516
183.207.229.13,80,0.223601912
195.34.100.5,80,2.198595514
201.221.132.142,8080,1.983711268
202.173.222.43,8080,1.597064145
211.144.81.105,80,0.232214762
219.159.186.68,9999,0.259808776
221.181.192.91,80,0.188147058
14.18.16.68,80,0.282772669
14.18.16.69,80,0.178712173
41.222.196.52,8080,3.286398546
111.1.32.51,8088,4.325970807
113.57.154.175,808,0.119839342
119.187.148.102,8000,0.167505738
120.192.80.152,21557,0.093830477
120.192.83.214,22460,0.076890325
120.192.84.69,21557,0.081870749
120.197.85.182,16515,0.070581863
180.169.71.178,8080,0.132698474
180.180.121.24,8080,3.150938929
180.180.121.237,8080,2.562261996
198.27.97.214,8089,0.79681087
201.221.128.27,8080,3.260309931
202.51.102.34,8080,2.097225941
211.151.50.72,8080,1.657428232
212.154.154.220,8080,1.820578945
218.201.21.176,80,0.151398044
219.132.140.218,9999,0.258999101
220.181.125.32,80,0.020298467
221.204.223.186,50634,0.03868867
1.93.21.147,2222,0.077525804
14.139.210.244,8080,3.271295344
88.146.208.123,8080,2.922936213
114.141.162.53,8080,1.816431961
118.98.35.251,8080,1.549304592
183.91.79.106,80,0.756202304
192.227.139.227,7808,0.795576697
192.227.139.227,8089,0.813151792
203.78.36.245,85,0.900662041
211.167.105.79,80,0.492809553
219.147.19.86,9999,0.183445579
14.18.17.166,80,0.14102559
54.199.29.246,8080,0.449996596
93.170.36.3,8080,2.037444904
123.183.220.217,80,0.066702197
125.39.66.162,80,0.779688192
198.27.97.214,7808,0.779762067
218.58.52.110,9999,0.156164882
221.194.43.10,8081,2.368380545
222.124.186.246,8080,2.648080079
120.198.230.31,81,0.83647629
122.226.122.201,8080,0.095694187
210.101.131.232,8080,0.587338535
222.168.67.10,9999,4.736109281
61.174.9.96,8080,0.173830779
77.50.220.92,8080,2.006724944
78.130.201.110,8080,2.093788652
95.65.58.61,443,3.120827922
109.175.6.192,8080,2.849564836
118.97.175.170,8080,1.248143281
175.106.14.234,8080,1.140994324
177.36.214.218,8080,2.194041773
190.0.46.66,8080,1.822678675
190.151.10.226,8080,3.285165966
213.110.196.195,8080,2.560048076
96.44.157.204,7808,0.674816162
96.44.157.204,8089,0.762988823
112.93.248.48,9000,0.481032146
120.192.83.209,21557,0.261064576
140.207.194.70,80,0.07579827
